use3d	 0 
spacing	 0.50 
nKernels	 16 
nDirections	 720 
az	 inc	 gains
0.0000	 1.5708	1.0000000000	-0.1081247460	0.9989731332	-0.2782580528	0.4367483347	-0.1005667141	0.1394756329	0.2333209995	-0.0931545865	0.0233893664	-0.1208626123	0.0838959456	-0.2007051810	-0.0103019713	-0.0250151939	-0.0268352271
0.0087	 1.5708	1.0000000000	-0.0533891064	1.0238432588	-0.2310559863	0.4334626652	-0.1119203604	0.1660560284	0.2146995249	-0.1085198488	0.0129760927	-0.1262559243	0.0552727325	-0.2108743989	0.0110422144	-0.0312448490	-0.0167718330
0.0175	 1.5708	1.0000000000	0.0034602866	1.0442425573	-0.1836798972	0.4267673567	-0.1203452120	0.1919860422	0.1934180963	-0.1211861890	0.0019771777	-0.1297882873	0.0241691787	-0.2157336276	0.0308893017	-0.0373630331	-0.0066436584
0.0262	 1.5708	1.0000000000	0.0621220526	1.0600209495	-0.1364585127	0.4168183771	-0.1257106900	0.2168388018	0.1699093805	-0.1310713237	-0.0094440406	-0.1312716056	-0.0087117214	-0.2150832879	0.0486480390	-0.0431327535	0.0030964525
0.0349	 1.5708	1.0000000000	0.1222816000	1.0710596388	-0.0897159918	0.4038017798	-0.1279357518	0.2402059250	0.1446453554	-0.1381618948	-0.0211253031	-0.1305355506	-0.0425896089	-0.2088706419	0.0638047914	-0.0483334946	0.0120133148
0.0436	 1.5708	1.0000000000	0.1836140032	1.0772712793	-0.0437694937	0.3879321915	-0.1269901481	0.2617062691	0.1181245978	-0.1425092960	-0.0329069950	-0.1274349400	-0.0766245176	-0.1971937627	0.0759404982	-0.0527695075	0.0197074112
0.0524	 1.5708	1.0000000000	0.2457868989	1.0785997971	0.0010732577	0.3694510331	-0.1228946820	0.2809941973	0.0908589468	-0.1442233917	-0.0446333544	-0.1218576302	-0.1099374019	-0.1803011320	0.0847442902	-0.0562770668	0.0258315060
0.0611	 1.5708	1.0000000000	0.3084633465	1.0750199035	0.0445164257	0.3486244343	-0.1157204244	0.2977670969	0.0633600035	-0.1434644442	-0.0561533753	-0.1137325900	-0.1416329676	-0.1585867561	0.0900232368	-0.0587303990	0.0301051446
0.0698	 1.5708	1.0000000000	0.3713046000	1.0665363484	0.0862785297	0.3257408109	-0.1055868693	0.3117718958	0.0361259343	-0.1404336445	-0.0673214778	-0.1030377684	-0.1708242165	-0.1325808356	0.0917078395	-0.0600460440	0.0323264005
0.0785	 1.5708	1.0000000000	0.4339727486	1.0531829616	0.1260949285	0.3011080733	-0.0926590435	0.3228103468	0.0096290380	-0.1353626990	-0.0779980294	-0.0898073335	-0.1966580045	-0.1029361753	0.0898530473	-0.0601854750	0.0323803498
0.0873	 1.5708	1.0000000000	0.4961331868	1.0350215331	0.1637202998	0.2750504521	-0.0771436208	0.3307428826	-0.0156954960	-0.1285029653	-0.0880498093	-0.0741378370	-0.2183408230	-0.0704106688	0.0846347478	-0.0591558780	0.0302438911
0.0960	 1.5708	1.0000000000	0.5574568905	1.0121405810	0.1989310873	0.2479049363	-0.0592841234	0.3354908926	-0.0394592599	-0.1201146382	-0.0973505076	-0.0561928716	-0.2351639511	-0.0358463391	0.0763418635	-0.0570090704	0.0259866880
0.1047	 1.5708	1.0000000000	0.6176224808	0.9846540486	0.2315278731	0.2200173409	-0.0393553289	0.3370373236	-0.0613284206	-0.1104564762	-0.1057813408	-0.0362058170	-0.2465270917	-0.0001455448	0.0653643637	-0.0538386177	0.0197681865
0.1134	 1.5708	1.0000000000	0.6763180705	0.9526999676	0.2613376240	0.1917380390	-0.0176570326	0.3354255679	-0.0810294035	-0.0997765218	-0.1132318518	-0.0144803307	-0.2519596089	0.0357549208	0.0521776612	-0.0497752831	0.0118308311
0.1222	 1.5708	1.0000000000	0.7332428994	0.9164391156	0.2882157469	0.1634174150	0.0054926608	0.3307566690	-0.0983523298	-0.0883042065	-0.1196009402	0.0086116818	-0.2511385270	0.0709110228	0.0373240164	-0.0449810194	0.0024897771
0.1309	 1.5708	1.0000000000	0.7881087702	0.8760536853	0.3120478832	0.1354011164	0.0297643188	0.3231849366	-0.1131521646	-0.0762441517	-0.1247981452	0.0326347794	-0.2439025290	0.1043990906	0.0213916859	-0.0396417692	-0.0078804469
0.1396	 1.5708	1.0000000000	0.8406413077	0.8317459735	0.3327513695	0.1080252005	0.0548242279	0.3129121282	-0.1253476314	-0.0637718862	-0.1287451729	0.0570974286	-0.2302613098	0.1353429278	0.0049926485	-0.0339593932	-0.0188617345
0.1484	 1.5708	1.0000000000	0.8905810679	0.7837370895	0.3502762903	0.0816112870	0.0803412912	0.3001804098	-0.1349180412	-0.0510315921	-0.1313776343	0.0814620980	-0.2103997917	0.1629395192	-0.0112602079	-0.0281430802	-0.0300099539
0.1571	 1.5708	1.0000000000	0.9376845256	0.7322656719	0.3646060554	0.0564618405	0.1059935680	0.2852643579	-0.1418982655	-0.0381358873	-0.1326469313	0.1051577982	-0.1846768841	0.1864824682	-0.0267755357	-0.0224006090	-0.0408734806
0.1658	 1.5708	1.0000000000	0.9817249730	0.6775865972	0.3757574433	0.0328557114	0.1314742594	0.2684622987	-0.1463721569	-0.0251675450	-0.1325222040	0.1275947338	-0.1536186702	0.2053823682	-0.0410047344	-0.0169298395	-0.0510118918
0.1745	 1.5708	1.0000000000	1.0224933549	0.6199696571	0.3837800677	0.0110440652	0.1564969660	0.2500873098	-0.1484647714	-0.0121829557	-0.1309922355	0.1481806220	-0.1179061148	0.2191834174	-0.0534610937	-0.0119107925	-0.0600140060
0.1833	 1.5708	1.0000000000	1.0597990670	0.5596981804	0.3887552400	-0.0087531766	0.1808000747	0.2304582122	-0.1483337852	0.0007829512	-0.1280671960	0.1663381341	-0.0783575966	0.2275757206	-0.0637361497	-0.0074986472	-0.0675144843
0.1920	 1.5708	1.0000000000	1.0934707333	0.4970675730	0.3907942238	-0.0263502728	0.2041501647	0.2098908814	-0.1461605140	0.0137106741	-0.1237801029	0.1815228403	-0.0359067796	0.2304028736	-0.0715126544	-0.0038179441	-0.0732082878
0.2007	 1.5708	1.0000000000	1.1233569732	0.4323837522	0.3900358988	-0.0415978813	0.2263443673	0.1886901818	-0.1421409381	0.0265893905	-0.1181878767	0.1932409929	0.0084234778	0.2276646046	-0.0765737103	-0.0009582185	-0.0768623890
0.2094	 1.5708	1.0000000000	1.1493271592	0.3659614565	0.3866438763	-0.0543844917	0.2472116547	0.1671427968	-0.1364771173	0.0394099162	-0.1113718822	0.2010664609	0.0535503126	0.2195144231	-0.0788077913	0.0010287721	-0.0783242695
